title, siteurl, imgurl, group
Repl.it, http://repl.it, http://abbas411.com/sites/images/repl.png, RPL
CodePen, http://codepen.io/, http://codepen.io/favicons/favicon-32x32.png, FED
Cloud9, https://c9.io/, http://abbas411.com/sites/images/cloud9.png , FSD
O'Reilly Chimera Labs, http://chimera.labs.oreilly.com/books, http://abbas411.com/sites/images/chimera.png, GEN
Heroku, https://id.heroku.com/login ,http://abbas411.com/sites/images/heroku.png, FSD
LiveWeave, http://liveweave.com/ ,http://abbas411.com/sites/images/liveweave.png, FED
JSBin, https://jsbin.com/ , http://abbas411.com/sites/images/jsbin.png, FED
TutorialsPoint, http://www.tutorialspoint.com/ ,http://abbas411.com/sites/images/tutorialspoint.png, GEN
RubyMonk, https://rubymonk.com/ , http://abbas411.com/sites/images/rubymonk.png, OLL
FreeCodeCamp, http://www.freecodecamp.com/ ,http://abbas411.com/sites/images/freecodecamp.png, OLL
CoderManual, https://codermanual.com/  ,http://abbas411.com/sites/images/codermanual.png, OLL
SitePoint Premium, https://www.sitepoint.com/premium/ ,http://abbas411.com/sites/images/sitepoint.png, GEN
CodingGround@TutsPoint, http://www.tutorialspoint.com/codingground.htm , http://abbas411.com/sites/images/codingground.png, RPL
JS@CodeAvengers, https://www.codeavengers.com/javascript/9#1.1  ,http://abbas411.com/sites/images/js.png, OLL
Code Avengers, https://www.codeavengers.com/ ,http://abbas411.com/sites/images/ca.png, OLL
Marvel, https://marvelapp.com/ , http://abbas411.com/sites/images/marvel.png, GEN
W3Schools, http://w3schools.com, http://abbas411.com/sites/images/w3.png ,GEN
SitePoint Home, http://www.sitepoint.com/ , http://abbas411.com/sites/images/sitepointhome.png , GEN
Rails Tutorial, https://www.railstutorial.org/book , http://abbas411.com/sites/images/rails.png , OLL
Code Anywhere, https://codeanywhere.com/ , http://abbas411.com/sites/images/codeanywhere.png ,FSD
Modern Web, http://modernweb.com/, http://abbas411.com/sites/images/modernweb.png ,FSD
JS Compiler, https://babeljs.io/ , http://abbas411.com/sites/images/babel.png   ,FED 
Mozilla Web Dev, https://developer.mozilla.org/en-US/docs/Web , http://abbas411.com/sites/images/mdn.png  , GEN 
